Day,Date,Time,Reading,Temp FL (°C),Temp FR (°C),Temp BL (°C),Temp BR (°C),AC On?,Windows Open?,Class In Session?,"Side Window Size (cm²)
[FIXED]","Back Window Size (cm²)
[FIXED]",No. of Windows Open,No. of People in Class,Outdoor Temp (°C),Door Height Measurement (cm),Door Width Measurement (cm),FL Grid (cm²),FR Grid (cm²),BL Grid (cm²),BR Grid (cm²),Area of Class (cm²),Front Height of Class (cm),Back Height of Class (cm)
Friday,6/3/2026,7:30 AM,Before class,26.8,24.7,25.8,25,NO,YES,NO,4356,4620,14,3,26,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,27.3,28.9,27.6,27.4,NO,YES,YES,4356,4620,14,13,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,30.9,30.8,29.9,30.3,NO,YES,YES,4356,4620,14,13,40,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,26.9,26.6,26.6,26.7,YES,NO,NO,4356,4620,0,4,31,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Saturday,7/3/2026,7:30 AM,Before class,27.3,28,27.6,26,NO,YES,NO,4356,4620,14,4,25,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,31.6,30.7,31.2,30.5,NO,YES,YES,4356,4620,14,28,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,31.6,31.6,31.9,31.9,NO,YES,NO,4356,4620,14,5,39,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,26.3,26,26.2,26.5,YES,NO,NO,4356,4620,0,4,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Sunday,8/3/2026,7:30 AM,No class,26,26.1,26,26.2,NO,YES,NO,4356,4620,14,1,26,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,No class,27.3,28.9,28.5,27.7,NO,YES,YES,4356,4620,14,6,31,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,No class,29.9,30.5,30.6,30.2,NO,YES,YES,4356,4620,14,8,38,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,No class,26.7,26.6,26.8,26.8,YES,NO,NO,4356,4620,0,4,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Monday,9/3/2026,7:30 AM,Before class,26.3,25.8,25.9,26,YES,NO,NO,4356,4620,0,8,26,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,31.75,29.6,31.1,29.7,YES,YES,YES,4356,4620,10,41,31,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,30,28.4,27.3,31,YES,NO,YES,4356,4620,0,25,37,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,24.6,25.2,24.7,24.7,YES,NO,NO,4356,4620,0,6,29,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Tuesday,10/3/2026,7:30 AM,Before class,24,24.3,25,24.6,YES,NO,NO,4356,4620,0,6,26,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,24.2,24.6,25.2,24.4,YES,NO,YES,4356,4620,0,13,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,29.2,27,30.2,27.4,YES,NO,YES,4356,4620,0,16,36,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,24.6,25.3,24.4,24.4,YES,NO,NO,4356,4620,0,5,29,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Wednesday,11/3/2026,7:30 AM,Before class,26.9,26.5,26.5,26.6,YES,NO,NO,4356,4620,0,7,25,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,28.7,28.4,29.5,28,YES,NO,YES,4356,4620,0,12,30,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,30.2,29.6,31.2,27.4,YES,YES,YES,4356,4620,5,20,35,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,25.6,26.5,26.4,26.6,YES,NO,NO,4356,4620,0,6,28,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
Thursday,12/3/2026,7:30 AM,Before class,26.2,26.3,26.5,26.5,YES,NO,NO,4356,4620,0,5,25,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,9:00 AM,Class starts,29,29.4,28.9,29.2,YES,NO,YES,4356,4620,0,16,29,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,2:00 PM,End of class,28.5,30.6,30.6,30.9,YES,YES,YES,4356,4620,11,40,34,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
,,7:30 PM,Evening check,24.8,25,25.2,24.9,YES,NO,NO,4356,4620,0,5,28,213.36,91.44,"19,101.50","19,101.50","19,101.50","19,101.50",76406,660,930
